state,id,income
Alabama,AL,44509
Arizona,AZ,52248
Arkansas,AR,42798
California,CA,63636
Colorado,CO,66596
Connecticut,CT,72889
Delaware,DE,57756
District of Columbia,DC,70071
Florida,FL,48825
Georgia,GA,50768
Idaho,ID,51624
Illinois,IL,60413
Indiana,IN,51983
Iowa,IA,60855
Kansas,KS,54865
Kentucky,KY,42387
Louisiana,LA,45922
Maine,ME,50756
Maryland,MD,73594
Massachusetts,MA,67861
Michigan,MI,54203
Minnesota,MN,68730
Mississippi,MS,40037
Missouri,MO,59196
Montana,MT,51395
Nebraska,NE,60474
Nevada,NV,52008
New Hampshire,NH,75675
New Jersey,NJ,68357
New Mexico,NM,45119
New York,NY,58005
North Carolina,NC,50797
North Dakota,ND,57415
Ohio,OH,53301
Oklahoma,OK,47077
Oregon,OR,60834
Pennsylvania,PA,60389
Rhode Island,RI,55701
South Carolina,SC,46360
South Dakota,SD,55065
Tennessee,TN,47330
Texas,TX,56473
Utah,UT,66258
Vermont,VT,59494
Virginia,VA,61486
Washington,WA,67243
West Virginia,WV,42824
Wisconsin,WI,55425
Wyoming,WY,60925
