state,id,ob
Alabama,AL,64.8
Arizona,AZ,50.7
Arkansas,AR,66.4
California,CA,48.2
Colorado,CO,46.3
Connecticut,CT,56.8
Delaware,DE,52.6
District of Columbia,DC,50.9
Florida,FL,55.3
Georgia,GA,59
Idaho,ID,61.8
Illinois,IL,59.7
Indiana,IN,49.8
Iowa,IA,57.8
Kansas,KS,64.2
Kentucky,KY,69.4
Louisiana,LA,64.4
Maine,ME,67.9
Maryland,MD,60.4
Massachusetts,MA,53
Michigan,MI,60.2
Minnesota,MN,51.1
Mississippi,MS,57
Missouri,MO,57.7
Montana,MT,59.8
Nebraska,NE,62.2
Nevada,NV,51.9
New Hampshire,NH,56.6
New Jersey,NJ,48.5
New Mexico,NM,55.5
New York,NY,58.1
North Carolina,NC,62.4
North Dakota,ND,60.2
Ohio,OH,60.1
Oklahoma,OK,72.3
Oregon,OR,60.3
Pennsylvania,PA,62.1
Rhode Island,RI,59.2
South Carolina,SC,59.1
South Dakota,SD,67
Tennessee,TN,60.8
Texas,TX,55.6
Utah,UT,56.3
Vermont,VT,64.6
Virginia,VA,55.4
Washington,WA,50.4
West Virginia,WV,54.8
Wisconsin,WI,56.9
Wyoming,WY,65.8
